idCadastrar_Produtos,Setor_Produtor,Codigo_do_Produto,Descricao_do_Produto,PesoRefungo,PesoEmbalagem
31,CORTE DE A4,500,Multiuso com 500 Folhas ,23.341,0.08
32,CORTE DE A4,501,Sulfite com 500 Folhas ,23.181,0.08
33,CORTE DE A4,502,Microserrilhado com 500 Folhas ,23.341,0.08
34,CORTE DE A4,503,Reciclado com 450 Folhas ,23.341,0.08
35,CORTE DE A4,100,Realzinho com 100 Folhas ,23.341,0.08
36,CORTE DE BOBINAS,5710,Bobina de 57mm por 10 metros ,4.201,0
37,CORTE DE BOBINAS,5716,Bobina de 57mm por 16 metros ,4.201,0
38,CORTE DE BOBINAS,5720,Bobina de 57mm por 20 metros ,2.661,0
39,CORTE DE BOBINAS,5730,Bobina de 57mm por 30 metros ,2.746,0
40,CORTE DE BOBINAS,5740,Bobina de 57mm por 40 metros ,3.021,0
41,CORTE DE BOBINAS,5750,Bobina de 57mm por 50 metros ,4.577,0
42,CORTE DE BOBINAS,5780,Bobina de 57mm por 80 metros ,4.835,0
43,CORTE DE BOBINAS,57100,Bobina de 57mm por 100 metros ,4.303,0
44,CORTE DE BOBINAS,57150,Bobina de 57mm por 150 metros ,4.578,0
45,CORTE DE BOBINAS,57200,Bobina de 57mm por 200 metros ,3.561,0
46,CORTE DE BOBINAS,57270,Bobina de 57mm por 270 metros ,4.384,0
47,CORTE DE BOBINAS,57300,Bobina de 57mm por 300 metros ,4.574,0
48,CORTE DE BOBINAS,57360,Bobina de 57mm por 360 metros ,5.397,0
49,CORTE DE BOBINAS,11040,Bobina de 110mm por 40 metros ,3.628,0
50,CORTE DE BOBINAS,8020,Bobina de 80mm por 20 metros ,4.928,0
51,CORTE DE BOBINAS,8030,Bobina de 80mm por 30 metros ,3.511,0
52,CORTE DE BOBINAS,8040,Bobina de 80mm por 40 metros ,4.681,0
53,CORTE DE BOBINAS,8080,Bobina de 80mm por 80 metros ,5.632,0
