idcalendario,Data,Dia_da_Semana,Impressao,Descricao,CortedeBobina,CortedeBobinaDescicao,CortedeA4,CortedeA4Descricao
1,01/01/2020,quarta-feira,,Férias Coletivas,,,,
2,02/01/2020,quinta-feira,,Férias Coletivas,,,,
3,03/01/2020,sexta-feira,,Férias Coletivas,,,,
4,04/01/2020,sábado,,Férias Coletivas,,,,
5,05/01/2020,domingo,,Férias Coletivas,,,,
6,06/01/2020,segunda-feira,,Util,,,,
7,07/01/2020,terça-feira,,Util,,,,
8,08/01/2020,quarta-feira,,Util,,,,
9,09/01/2020,quinta-feira,,Util,,,,
10,10/01/2020,sexta-feira,,Util,,,,
11,11/01/2020,sábado,,Não Util,,,,
12,12/01/2020,domingo,,Não Util,,,,
13,13/01/2020,segunda-feira,,Util,,,,
14,14/01/2020,terça-feira,,Util,,,,
15,15/01/2020,quarta-feira,,Util,,,,
16,16/01/2020,quinta-feira,,Util,,,,
17,17/01/2020,sexta-feira,,Util,,,,
18,18/01/2020,sábado,,Não Util,,,,
19,19/01/2020,domingo,,Não Util,,,,
20,20/01/2020,segunda-feira,,Util,,,,
21,21/01/2020,terça-feira,,Util,,,,
22,22/01/2020,quarta-feira,,Util,,,,
23,23/01/2020,quinta-feira,,Util,,,,
24,24/01/2020,sexta-feira,,Util,,,,
25,25/01/2020,sábado,,Não Util,,,,
26,26/01/2020,domingo,,Não Util,,,,
27,27/01/2020,segunda-feira,,Util,,,,
28,28/01/2020,terça-feira,,Util,,,,
29,29/01/2020,quarta-feira,,Util,,,,
30,30/01/2020,quinta-feira,,Util,,,,
31,31/01/2020,sexta-feira,,Util,,,,
32,01/02/2020,sábado,,Não Util,,,,
33,02/02/2020,domingo,,Não Util,,,,
34,03/02/2020,segunda-feira,,Util,,,,
35,04/02/2020,terça-feira,,Util,,,,
36,05/02/2020,quarta-feira,,Util,,,,
37,06/02/2020,quinta-feira,,Util,,,,
38,07/02/2020,sexta-feira,,Util,,,,
39,08/02/2020,sábado,,Não Util,,,,
40,09/02/2020,domingo,,Não Util,,,,
41,10/02/2020,segunda-feira,,Util,,,,
42,11/02/2020,terça-feira,,Util,,,,
43,12/02/2020,quarta-feira,,Util,,,,
44,13/02/2020,quinta-feira,,Util,,,,
45,14/02/2020,sexta-feira,,Util,,,,
46,15/02/2020,sábado,,Não Util,,,,
47,16/02/2020,domingo,,Não Util,,,,
48,17/02/2020,segunda-feira,,Util,,,,
49,18/02/2020,terça-feira,,Util,,,,
50,19/02/2020,quarta-feira,,Util,,,,
51,20/02/2020,quinta-feira,,Util,,,,
52,21/02/2020,sexta-feira,,Util,,,,
53,22/02/2020,sábado,,Não Util,,,,
54,23/02/2020,domingo,,Não Util,,,,
55,24/02/2020,segunda-feira,,Util,,,,
56,25/02/2020,terça-feira,,Util,,,,
