Setor,Data,Disponibilidade_Meta,Disponibilidade_Real,Desempenho_Meta,Desempenho_Real,Qualidade_Meta,Qualidade_Real,OeeVisaoGeral_Meta,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Meta,CapacidadeReal_Real,CapacidadeInstalada_Meta,CapacidadeInstalada_Real,UtilizacaoCapacidade_Meta,UtilizacaoCapacidade_Real,CaixasNaoProduzidas_Meta,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Meta,HorasAdicionaisAoProcesso_Real,HorasParadas_Meta,HorasParadas_Real,HorasReais_Meta,HorasReais_Real,DescartesCaixas_Meta,DescartesCaixas_Real,DescartesTampas_Meta,DescartesTampas_Real,DescartesEmbalagens_Meta,DescartesEmbalagens_Real,Refugo_Meta,Refugo_Real,SegundaLinha_Meta,SegundaLinha_Real
CORTE DE A4,02/09/2019,,1.00,,0.84,,1.00,,0.84,25.50,132.00,,0.84,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,,,,,
CORTE DE BOBINAS,02/09/2019,,1.00,,0.77,,1.00,,0.77,13.53,46.00,,0.77,,59.53,,,18.72,,0h,0,18,72,0,2,75,8:45,,,,,,,,,,
IMPRESSÃO,02/09/2019,,1.00,,1.21,,1.00,,1.21,-3525.00,20500.00,,1.21,,16975.00,,,7553.88,,0h,0,7.553,88,0,3,89,8:45,,,,,,,,,,
CORTE DE A4,03/09/2019,,1.00,,0.68,,1.00,,0.68,50.50,107.00,,0.68,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,,,,,
CORTE DE BOBINAS,03/09/2019,,1.00,,0.71,,1.00,,0.71,24.45,60.00,,0.71,,84.45,,,26.55,,0h,0,26,55,0,2,75,8:45,,,,,,,,0.00,,
IMPRESSÃO,03/09/2019,,0.54,,0.32,,1.00,,0.17,12720.00,5900.00,,0.17,,34300.00,,,8285.90,15680.00,0h,0,8.285,90,4,3,89,4:45,,,,,,,,,,
CORTE DE A4,04/09/2019,,1.00,,0.50,,1.00,,0.50,79.50,78.00,,0.50,,157.50,,,46.62,,0h,0,46,62,0,2,59,8:45,,,,,,,,,,
CORTE DE BOBINAS,04/09/2019,,0.40,,1.46,,0.99,,0.57,-19.14,61.00,,0.58,,104.66,,,13.16,62.79,0h,0,13,16,5:15,2,75,3:30,,,,,,,,0.01,,
CORTE DE BOBINAS,05/09/2019,,0.77,,0.81,,0.97,,0.61,10.16,43.00,,0.62,,68.92,,,16.71,15.75,0h,0,16,71,2,2,75,6:45,,,,,,,,0.03,,
CORTE DE A4,06/09/2019,,0.76,,0.52,,1.00,,0.39,58.00,62.00,,0.39,,157.50,,,35.52,37.50,0h,0,35,52,2:05,2,59,6:40,,,,,,,,,,
