id,data_entrada,fornecedor,nota_fiscal,cod_bobina,peso
2,08/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20A842,415
3,08/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20B842,413
4,08/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20E842,414
5,08/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20F842,411
6,08/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20Z842,410
7,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20A851,412
8,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20B851,410
9,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E851,414
10,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20F851,414
11,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z851,410
12,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20A852,413
13,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20B852,415
14,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E852,415
15,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20F852,411
16,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z852,412
17,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20A861,415
18,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20B861,416
19,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E861,416
20,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20F861,412
21,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z861,412
22,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20A862,413
23,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20B862,415
24,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E862,415
25,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20F862,411
26,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z862,411
27,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20A871,412
28,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20B871,414
29,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E871,414
30,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20F871,410
31,08/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z871,410
32,08/10/2020,SANTA MARIA PAPEIS,130330,40642-2/20A992,410
33,08/10/2020,SANTA MARIA PAPEIS,130330,40642-2/20B992,412
34,08/10/2020,SANTA MARIA PAPEIS,130330,40642-2/20A001,412
35,08/10/2020,SANTA MARIA PAPEIS,130330,40642-2/20B001,411
70,09/10/2020,CMPC,79953,20I02162D,387
71,09/10/2020,CMPC,79953,20I02191D,386
72,09/10/2020,CMPC,79953,20I02172D,385
73,09/10/2020,CMPC,79953,20I02181D,386
74,09/10/2020,CMPC,79953,20I02182D,386
75,09/10/2020,CMPC,79953,20I02192D,385
76,09/10/2020,CMPC,79953,20D29172E,382
77,09/10/2020,CMPC,79953,20D29172P,382
78,09/10/2020,CMPC,79953,20D29192E,382
79,09/10/2020,CMPC,79953,20D29192P,383
80,09/10/2020,CMPC,79953,20D29172A,381
81,09/10/2020,CMPC,79953,20D29192B,381
82,09/10/2020,CMPC,79953,20D29192A,381
83,09/10/2020,CMPC,79953,20D29192B,381
84,09/10/2020,CMPC,79953,20D30152A,390
85,09/10/2020,CMPC,79953,20D30152B,390
86,09/10/2020,CMPC,79953,20D030161E,391
87,09/10/2020,CMPC,79953,20D30161P,391
88,09/10/2020,CMPC,79953,20D30172A,391
89,09/10/2020,CMPC,79953,20D30172B,391
90,09/10/2020,CMPC,79953,20D30181E,390
91,09/10/2020,CMPC,79953,20D30181P,390
92,09/10/2020,CMPC,79953,20D29181E,381
93,09/10/2020,CMPC,79953,20D29181P,382
94,09/10/2020,CMPC,79953,20D29181A,380
95,09/10/2020,CMPC,79953,20D29181B,381
96,09/10/2020,CMPC,79953,20D29162E,383
97,09/10/2020,CMPC,79953,20D29162P,383
98,09/10/2020,CMPC,79953,20D29162A,382
99,09/10/2020,CMPC,79953,20D29162B,382
100,09/10/2020,CMPC,79953,20D29161E,381
101,09/10/2020,CMPC,79953,20D29161P,382
102,09/10/2020,CMPC,79953,20D29161A,381
103,09/10/2020,CMPC,79953,20D29161B,381
138,01/10/2020,SANTA MARIA PAPEIS,129637,40386-2/207441,200
139,16/10/2020,CMPC,80529,20J13161A,386
140,16/10/2020,CMPC,80529,20J13162A,385
141,16/10/2020,CMPC,80529,20J13212A,385
142,16/10/2020,CMPC,80529,20J13221A,385
143,16/10/2020,CMPC,80529,20J13252A,390
144,16/10/2020,CMPC,80529,20J13261A,388
145,16/10/2020,CMPC,80529,20D30011A,389
146,16/10/2020,CMPC,80529,20D30011B,389
147,16/10/2020,CMPC,80529,20D30011E,390
148,16/10/2020,CMPC,80529,20D30011P,391
149,16/10/2020,CMPC,80529,20D30061E,391
150,16/10/2020,CMPC,80529,20D30061P,392
151,16/10/2020,CMPC,80529,20D30062E,391
152,16/10/2020,CMPC,80529,20D30062P,392
153,16/10/2020,CMPC,80529,20D30072A,391
154,16/10/2020,CMPC,80529,20D30072B,391
155,16/10/2020,CMPC,80529,20D30072E,391
156,16/10/2020,CMPC,80529,20D30072P,391
157,16/10/2020,CMPC,80529,20D30082A,391
158,16/10/2020,CMPC,80529,20D30082B,391
159,16/10/2020,CMPC,80529,20D30082E,391
160,16/10/2020,CMPC,80529,20D30082P,392
161,16/10/2020,CMPC,80529,20D30091A,392
162,16/10/2020,CMPC,80529,20D30091B,391
163,16/10/2020,CMPC,80529,20D30091E,391
164,16/10/2020,CMPC,80529,20D30091P,391
165,16/10/2020,CMPC,80529,20D30092E,391
166,16/10/2020,CMPC,80529,20D30092P,392
167,16/10/2020,CMPC,80529,20D30093E,391
168,16/10/2020,CMPC,80529,20D30093P,392
169,16/10/2020,CMPC,80529,20D30101E,390
170,16/10/2020,CMPC,80529,20D30101P,390
171,16/10/2020,CMPC,80529,20D30071P,390
172,16/10/2020,CMPC,80529,20D30071E,390
173,15/10/2020,SANTA MARIA PAPEIS,130330,40386-2/20C431,200
174,23/10/2020,CMPC,81233,20D17022D,384
175,23/10/2020,CMPC,81233,20D17021D,384
176,23/10/2020,CMPC,81233,20D17042P,382
177,23/10/2020,CMPC,81233,20D17042E,382
178,23/10/2020,CMPC,81233,20D16372D,384
179,23/10/2020,CMPC,81233,20D16372E,384
180,23/10/2020,CMPC,81233,20D17092D,380
181,23/10/2020,CMPC,81233,20D17091D,379
182,23/10/2020,CMPC,81233,20C31192B,389
183,23/10/2020,CMPC,81233,20C31192A,388
184,23/10/2020,CMPC,81233,20D06121P,391
185,23/10/2020,CMPC,81233,20D06121E,391
186,23/10/2020,CMPC,81233,20D16372B,384
187,23/10/2020,CMPC,81233,20D16372A,383
188,23/10/2020,CMPC,81233,20D16381E,382
189,23/10/2020,CMPC,81233,20D16381P,382
190,23/10/2020,CMPC,81233,20D17141B,382
191,23/10/2020,CMPC,81233,20D17141A,381
192,23/10/2020,CMPC,81233,20D17142P,383
193,23/10/2020,CMPC,81233,20D17141P,382
194,23/10/2020,CMPC,81233,20D16342P,383
195,23/10/2020,CMPC,81233,20D16342E,383
196,23/10/2020,CMPC,81233,20D16351B,384
197,23/10/2020,CMPC,81233,20D16351A,384
198,23/10/2020,CMPC,81233,20D17071B,377
199,23/10/2020,CMPC,81233,20D17071A,377
200,23/10/2020,CMPC,81233,20D06121B,392
201,23/10/2020,CMPC,81233,20D06121A,392
202,23/10/2020,CMPC,81233,20D16322B,379
203,23/10/2020,CMPC,81233,20D16322A,379
204,23/10/2020,CMPC,81233,20D16381B,382
205,23/10/2020,CMPC,81233,20D16381A,381
206,23/10/2020,CMPC,81233,20D17072P,379
207,23/10/2020,CMPC,81233,20D17072E,379
208,04/11/2020,CMPC,82104,20J31102D,364
209,04/11/2020,CMPC,82104,20J31182B,382
210,04/11/2020,CMPC,82104,20J31312D,389
211,04/11/2020,CMPC,82104,20K01051D,366
212,04/11/2020,CMPC,82104,20K01081D,357
213,04/11/2020,CMPC,82104,20K01082D,354
214,04/11/2020,CMPC,82104,20J31101D,384
215,04/11/2020,CMPC,82104,20J31321D,385
216,04/11/2020,CMPC,82104,20J31322A,389
217,04/11/2020,CMPC,82104,20J31322B,389
218,04/11/2020,CMPC,82104,20J31322E,387
219,04/11/2020,CMPC,82104,20J31322P,388
220,04/11/2020,CMPC,82104,20K01102E,383
221,04/11/2020,CMPC,82104,20K01102P,384
222,04/11/2020,CMPC,82104,20K01132E,380
223,04/11/2020,CMPC,82104,20K01132P,380
224,04/11/2020,CMPC,82104,20K01142E,380
225,04/11/2020,CMPC,82104,20K01142P,380
226,04/11/2020,CMPC,82104,20K01152A,386
227,04/11/2020,CMPC,82104,20K01152B,386
228,04/11/2020,CMPC,82104,20K01161A,387
229,04/11/2020,CMPC,82104,20K01161B,387
230,04/11/2020,CMPC,82104,20K01161D,385
231,04/11/2020,CMPC,82104,20K01161E,383
232,04/11/2020,CMPC,82104,20K01161P,384
233,04/11/2020,CMPC,82104,20K01162D,386
234,04/11/2020,CMPC,82104,20K01162E,383
235,04/11/2020,CMPC,82104,20K01162P,384
236,04/11/2020,CMPC,82104,20K01171D,385
237,04/11/2020,CMPC,82104,20K01171E,383
238,04/11/2020,CMPC,82104,20K01171P,383
239,04/11/2020,CMPC,82104,20K01172D,386
240,04/11/2020,CMPC,82104,20K01172E,384
241,04/11/2020,CMPC,82104,20K01172P,384
242,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20F001,425
243,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20B011,424
244,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20A981,414
245,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20C001,424
246,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z011,426
247,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20F011,426
248,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20B001,423
249,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20A001,406
250,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20C971,414
251,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20A971,415
252,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20B971,415
253,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z981,417
254,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z941,414
255,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20E941,413
256,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z951,417
257,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20E951,416
258,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20E961,415
259,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z961,415
260,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z971,417
261,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20F971,417
262,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20C991,416
263,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z991,416
264,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20C981,413
265,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20F991,414
266,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20F981,416
267,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20A991,414
268,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20B991,412
269,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20B981,415
270,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20A011,423
271,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20C011,423
272,05/11/2020,SANTA MARIA PAPEIS,130975,40782-2/20Z001,420
273,10/11/2020,CMPC,82575,20K05131B,385
274,10/11/2020,CMPC,82575,20K05131A,385
275,10/11/2020,CMPC,82575,20K05121C,386
276,10/11/2020,CMPC,82575,20K05121B,386
277,10/11/2020,CMPC,82575,20K05122P,377
278,10/11/2020,CMPC,82575,20K05122F,377
279,10/11/2020,CMPC,82575,20K05122B,378
280,10/11/2020,CMPC,82575,20K05122A,377
281,10/11/2020,CMPC,82575,20K05172P,383
282,10/11/2020,CMPC,82575,20K05172E,383
283,10/11/2020,CMPC,82575,20K05172B,383
284,10/11/2020,CMPC,82575,20K05172A,383
285,10/11/2020,CMPC,82575,20K05202P,383
286,10/11/2020,CMPC,82575,20K05202E,382
287,10/11/2020,CMPC,82575,20K05202B,383
288,10/11/2020,CMPC,82575,20K05202A,383
289,10/11/2020,CMPC,82575,20K05162P,381
290,10/11/2020,CMPC,82575,20K05162E,380
291,10/11/2020,CMPC,82575,20K05171B,380
292,10/11/2020,CMPC,82575,20K05171A,380
293,10/11/2020,CMPC,82575,20K05182P,381
294,10/11/2020,CMPC,82575,20K05182E,380
295,10/11/2020,CMPC,82575,20K05182B,381
296,10/11/2020,CMPC,82575,20K05182A,381
297,10/11/2020,CMPC,82575,20K06112B,392
298,10/11/2020,CMPC,82575,20K06112A,391
299,10/11/2020,CMPC,82575,20K05162B,383
300,10/11/2020,CMPC,82575,20K05162A,382
301,10/11/2020,CMPC,82575,20K05171P,380
302,10/11/2020,CMPC,82575,20K05171E,380
303,10/11/2020,CMPC,82575,20K05121P,384
304,10/11/2020,CMPC,82575,20K05121F,384
305,10/11/2020,CMPC,82575,20K05131F,384
306,10/11/2020,CMPC,82575,20K05131P,384
307,13/11/2020,CMPC,82858,20K05292A,387
308,13/11/2020,CMPC,82858,20K05292B,387
309,13/11/2020,CMPC,82858,20K05301A,386
310,13/11/2020,CMPC,82858,20K05301B,387
