id_Geral,INDICADOR,UN,METAIMPRESSAO,REALIMPRESSAO,METACORTE,REALCORTE,METAA4,REALA4,METAGERAL,REALGERAL,Data
1,Disponibilidade,%,55.50%,,68.56%,,70.40%,,69.48%,,01/01/2018
2,Desempenho,%,75.00%,,80.00%,,80.00%,,80.00%,,01/01/2018
3,Perdas no processo
,%,99.50%,,97.41%,,86.45%,,91.93%,,01/01/2018
4,OEE,%,41.42%,,53.42%,,48.69%,,51.10%,,01/01/2018
5,,,,,,,,,,,01/01/2018
6,Produção Real,QTDE,,,12,,-19,,-7,,01/01/2018
7,Capacidade Real,QTDE,Metros,,Cx,,Cx,,,,01/01/2018
9,Capacidade Instalada
,,,,,,,,,,01/01/2018
10,Utilização da Capacidade
,kg,,,,,,,,,01/01/2018
12,Caixas não produzidas
,QTDE,8852,,12,,37,,,,01/01/2018
13, ,,,,,,,,,,01/01/2018
14,Horas adicionais ao processo
,Hrs,0,,0,,0,,0,,01/01/2018
15,Horas Paradas
,Hrs,3.9,,2.8,,2.6,,5.3,,01/01/2018
16,Horas Reais
,Hrs,8.8,,8.8,,8.8,,26.3,,01/01/2018
17, ,,,,,,,,,,01/01/2018
18,Caixas,%,,,0.55%,,0.70%,,0.63%,,01/01/2018
19,Tampas,%,,,,,0.45%,,0.45%,,01/01/2018
20,Embalagens,%,,,0.20%,,9.95%,,5.08%,,01/01/2018
21,Refugo,%,0.50%,,1.85%,,0.50%,,1.17%,,01/01/2018
22,2º Linha,%,,,,,1.95%,,1.95%,,01/01/2018
476,,,55.00%,,68.56%,,70.40%,,69.48%,,11/10/2019
477,,,75.00%,,80.00%,,80.00%,,80.00%,,11/10/2019
478,,,99.50%,,97.41%,,86.45%,,91.93%,,11/10/2019
479,,,41.42%,,53.42%,,48.69%,,51.10%,,11/10/2019
480,,,,,,,,,,,11/10/2019
481,,,,,12,,-19,,-7,,11/10/2019
482,,,Metros,,Cx,,Cx,,,,11/10/2019
483,,,,,,,,,,,11/10/2019
484,,,,,,,,,,,11/10/2019
485,,,8852,,12,,37,,,,11/10/2019
486,,,,,,,,,,,11/10/2019
487,,,0,,0,,0,,0,,11/10/2019
488,,,3.9,,2.8,,2.6,,5.3,,11/10/2019
489,,,8.8,,8.8,,8.8,,26.3,,11/10/2019
490,,,,,,,,,,,11/10/2019
491,,,,,0.55%,,0.70%,,0.63%,,11/10/2019
