idLancar_as_Paradas,Data,Codigo_do_Produto,Inicio_da_Parada,Fim_da_Parada,Tempo_da_Parada,Codigo_da_Parada,Descricao_da_Parada,Setor,Turno,Responsavel
45,01/10/2019,501,11:1,11:45,0:35,1,MANUTENÇÃO,CORTE DE A4,A,
46,03/10/2019,5716,7:3,10,2:3,1,MANUTENÇÃO,CORTE DE BOBINAS,A,
47,04/09/2019,8080,16,17:3,1:3,12,ACÚMULO,CORTE DE BOBINAS,A,
48,04/09/2019,57300,7:3,11:4,4:12,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,CORTE DE BOBINAS,A,
49,05/09/2019,8040,13,15,2,26,MATPERIA-PRIMA DE MÁ QUALIDADE,CORTE DE BOBINAS,A,
50,03/09/2019,1,13,17,4,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,IMPRESSÃO,A,
51,04/09/2019,1,7:3,11:45,4:15,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,IMPRESSÃO,A,
52,04/09/2019,1,13:3,18,4:3,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,IMPRESSÃO,A,
53,05/09/2019,1,7:3,11:45,4:15,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,IMPRESSÃO,A,
54,05/09/2019,1,13:3,18,4:3,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,IMPRESSÃO,A,
55,06/09/2019,1,7:3,11:45,4:15,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,IMPRESSÃO,A,
56,06/09/2019,1,13:3,18,4:3,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,IMPRESSÃO,A,
57,13/09/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
58,16/09/2019,5716,11,11:45,0:45,1,MANUTENÇÃO,CORTE DE BOBINAS,A,
59,16/09/2019,5716,13:3,15:3,2,1,MANUTENÇÃO,CORTE DE BOBINAS,A,
60,25/09/2019,8040,3:3,4:15,0:45,1,MANUTENÇÃO,CORTE DE BOBINAS,A,
61,25/09/2019,8040,8:4,9:3,0:5,11,AMARRAÇÃO DE FARDO,CORTE DE BOBINAS,A,
62,25/09/2019,8040,4:3,5:3,1,17,ORGANIZAÇÃO,CORTE DE BOBINAS,A,
63,05/09/2019,100,14:3,16:3,2,1,MANUTENÇÃO,CORTE DE A4,A,
64,06/09/2019,501,14:4,17:3,2:5,1,MANUTENÇÃO,CORTE DE A4,A,
65,09/09/2019,500,14:4,17:3,2:5,1,MANUTENÇÃO,CORTE DE A4,A,
66,13/09/2019,500,8:3,10:3,2,1,MANUTENÇÃO,CORTE DE A4,A,
67,20/09/2019,500,16:3,17:3,1,1,MANUTENÇÃO,CORTE DE A4,A,
68,26/09/2019,500,9,10:15,1:15,1,MANUTENÇÃO,CORTE DE A4,A,
69,26/09/2019,501,15:3,17:3,2,1,MANUTENÇÃO,CORTE DE A4,A,
70,27/09/2019,501,7:3,11:45,4:15,1,MANUTENÇÃO,CORTE DE A4,A,
71,27/09/2019,501,15,17:45,2:45,1,MANUTENÇÃO,CORTE DE A4,A,
72,27/09/2019,501,16:45,17:3,0:45,1,MANUTENÇÃO,CORTE DE A4,A,
74,03/10/2019,8040,13:3,18,4:3,4,FALTA DE PEDIDO,CORTE DE BOBINAS,A,
75,01/10/2019,501,13,16,3,1,MANUTENÇÃO,CORTE DE A4,A,
76,02/10/2019,501,13,13:25,0:25,1,MANUTENÇÃO,CORTE DE A4,A,
77,07/10/2019,501,7:3,17:3,10,1,MANUTENÇÃO,CORTE DE A4,A,
78,08/10/2019,501,7:3,17:3,10,1,MANUTENÇÃO,CORTE DE A4,A,
79,09/10/2019,501,7:3,8:5,1:2,1,MANUTENÇÃO,CORTE DE A4,A,
80,11/10/2019,501,16:4,17:3,0:5,1,MANUTENÇÃO,CORTE DE A4,A,
81,16/10/2019,501,7:3,8:5,1:2,1,MANUTENÇÃO,CORTE DE A4,A,
82,16/10/2019,501,10:3,11:45,1:15,1,MANUTENÇÃO,CORTE DE A4,A,
83,17/10/2019,501,10:3,11:45,1:15,1,MANUTENÇÃO,CORTE DE A4,A,
84,17/10/2019,501,14:3,17,2:3,1,MANUTENÇÃO,CORTE DE A4,A,
85,11/10/2019,1,7:3,18,10:3,1,MANUTENÇÃO,IMPRESSÃO,A,
86,14/10/2019,1,7:3,18,10:3,1,MANUTENÇÃO,IMPRESSÃO,A,
87,11/10/2019,5716,7:3,8,0:3,1,MANUTENÇÃO,CORTE DE BOBINAS,A,
88,21/10/2019,501,15,17:3,2:3,1,MANUTENÇÃO,CORTE DE A4,A,
89,21/10/2019,500,15,17:3,2:3,1,MANUTENÇÃO,CORTE DE A4,A,
90,24/10/2019,500,7:3,11,3:3,1,MANUTENÇÃO,CORTE DE A4,A,
91,25/10/2019,501,15,17:3,2:3,1,MANUTENÇÃO,CORTE DE A4,A,
92,29/10/2019,501,9:3,10:45,1:15,1,MANUTENÇÃO,CORTE DE A4,A,
93,21/10/2019,57360,7:4,10,2:2,27,OPERADOR EMPRESTADO PARA OUTRO SETOR,CORTE DE BOBINAS,A,
95,21/10/2019,5716,16:3,17:3,1,12,ACÚMULO,CORTE DE BOBINAS,A,
96,29/10/2019,8040,14,16,2,1,MANUTENÇÃO,CORTE DE BOBINAS,A,
97,31/10/2019,5730,15,17:3,2:3,1,MANUTENÇÃO,CORTE DE BOBINAS,A,
98,22/10/2019,1,7:3,11:45,4:15,1,MANUTENÇÃO,IMPRESSÃO,A,
99,22/10/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
100,25/10/2019,1,7:3,11:45,4:15,1,MANUTENÇÃO,IMPRESSÃO,A,
101,25/10/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
102,28/10/2019,1,7:3,11:45,4:15,1,MANUTENÇÃO,IMPRESSÃO,A,
103,28/10/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
104,29/10/2019,1,7:3,11:45,4:15,1,MANUTENÇÃO,IMPRESSÃO,A,
105,29/10/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
106,31/10/2019,1,7:3,11:45,4:15,1,MANUTENÇÃO,IMPRESSÃO,A,
107,31/10/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
119,01/11/2019,1,7:3,11:45,4:15,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
120,01/11/2019,1,13:3,18,4:3,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
121,07/11/2019,1,7:3,11:45,4:15,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
122,07/11/2019,1,13:3,18,4:3,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
123,08/11/2019,1,7:3,11:45,4:15,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
124,08/11/2019,1,13:3,18,4:3,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
125,08/11/2019,8040,16:3,17:3,1,17,ORGANIZAÇÃO,CORTE DE BOBINAS,A,
126,06/11/2019,501,7:3,11:45,4:15,3,FALTA DE MATÉRIA - PRIMA,CORTE DE A4,A,
127,06/11/2019,501,13:3,18,4:3,3,FALTA DE MATÉRIA - PRIMA,CORTE DE A4,A,
128,07/11/2019,500,7:3,11:45,4:15,3,FALTA DE MATÉRIA - PRIMA,CORTE DE A4,A,
129,07/11/2019,500,13:3,18,4:3,3,FALTA DE MATÉRIA - PRIMA,CORTE DE A4,A,
130,08/11/2019,500,7:3,11,3:3,24,DESCARREGAR CAMINHÃO,CORTE DE A4,A,
131,03/10/2019,1,7:3,11:45,4:15,1,MANUTENÇÃO,IMPRESSÃO,A,
132,03/10/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
133,23/10/2019,1,7:3,11:45,4:15,1,MANUTENÇÃO,IMPRESSÃO,A,
134,23/10/2019,1,13:3,18,4:3,1,MANUTENÇÃO,IMPRESSÃO,A,
135,13/11/2019,1,7:3,11:45,4:15,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
136,13/11/2019,1,13:3,18,4:3,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
137,14/11/2019,1,7:3,11:45,4:15,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
138,14/11/2019,1,13:3,18,4:3,3,FALTA DE MATÉRIA - PRIMA,IMPRESSÃO,A,
139,14/11/2019,5730,8:45,10:05,2:5,9,FALTA DE ENERGIA,CORTE DE BOBINAS,A,
140,14/11/2019,8040,16:3,17:3,1,12,ACÚMULO,CORTE DE BOBINAS,A,
141,14/11/2019,501,7:3,8:3,1,24,DESCARREGAR CAMINHÃO,CORTE DE A4,A,
142,14/11/2019,501,8:3,10:15,1:45,9,FALTA DE ENERGIA,CORTE DE A4,A,
143,14/11/2019,501,10:15,11:45,1:3,31,TROCA DE FACA,CORTE DE A4,A,
144,14/11/2019,501,13:3,17,3:3,1,MANUTENÇÃO,CORTE DE A4,A,
