idLancar_Descartes,Data,Unidade_da_Caixa,Unidade_da_Tampa,KG_de_Embalagem,KG_de_Refugo,Resmas_de_Segunda_Linha,Setor,Turno,Responsavel
96,02/03/2020,0,0,0,0,6,0,CORTE DE BOBINAS,A,
99,01/09/2019,0,0,0,2,2,0,CORTE DE BOBINAS,A,
100,03/09/2019,0,0,0,1,0,CORTE DE BOBINAS,A,
101,04/09/2019,0,0,0,4,3,0,CORTE DE BOBINAS,A,
102,05/09/2019,0,0,0,5,1,0,CORTE DE BOBINAS,A,
103,06/09/2019,0,0,0,4,5,0,CORTE DE BOBINAS,A,
104,09/09/2019,0,0,0,3,0,CORTE DE BOBINAS,A,
105,10/09/2019,0,0,0,3,1,0,CORTE DE BOBINAS,A,
112,02/03/2020,0,0,0,85,0,IMPRESSÃO,A,
113,11/09/2019,0,0,0,60,0,IMPRESSÃO,A,
114,12/09/2019,0,0,0,80,0,IMPRESSÃO,A,
115,13/09/2019,0,0,0,50,0,IMPRESSÃO,A,
116,16/09/2019,0,0,0,85,0,IMPRESSÃO,A,
117,17/09/2019,0,0,0,35,0,IMPRESSÃO,A,
118,19/09/2019,0,0,0,100,0,IMPRESSÃO,A,
119,20/09/2019,0,0,0,85,0,IMPRESSÃO,A,
120,24/09/2019,0,0,0,120,0,IMPRESSÃO,A,
121,25/09/2019,0,0,0,35,0,IMPRESSÃO,A,
122,26/09/2019,0,0,0,45,0,IMPRESSÃO,A,
123,30/09/2019,0,0,0,70,0,IMPRESSÃO,A,
124,11/09/2019,0,0,0,6,3,0,CORTE DE BOBINAS,A,
125,12/09/2019,0,0,0,4,6,0,CORTE DE BOBINAS,A,
126,15/09/2019,0,0,0,1,2,0,CORTE DE BOBINAS,A,
127,16/09/2019,0,0,0,3,0,CORTE DE BOBINAS,A,
128,17/09/2019,0,0,0,4,0,CORTE DE BOBINAS,A,
129,18/09/2019,0,0,0,2,4,0,CORTE DE BOBINAS,A,
130,19/09/2019,0,0,0,5,3,0,CORTE DE BOBINAS,A,
131,23/09/2019,0,0,0,3,8,0,CORTE DE BOBINAS,A,
132,24/09/2019,0,0,0,6,4,0,CORTE DE BOBINAS,A,
133,25/09/2019,0,0,0,3,2,0,CORTE DE BOBINAS,A,
134,26/09/2019,0,0,0,5,35,0,CORTE DE BOBINAS,A,
135,27/09/2019,0,0,0,2,48,0,CORTE DE BOBINAS,A,
140,01/10/2019,0,0,0,20,0,IMPRESSÃO,A,
141,02/10/2019,0,0,0,65,0,IMPRESSÃO,A,
143,04/10/2019,0,0,0,45,0,IMPRESSÃO,A,
146,07/10/2019,0,0,0,55,0,IMPRESSÃO,A,
147,08/10/2019,0,0,0,60,0,IMPRESSÃO,A,
148,09/10/2019,0,0,0,65,0,IMPRESSÃO,A,
149,10/10/2019,0,0,0,100,0,IMPRESSÃO,A,
169,15/10/2019,0,0,0,13,0,IMPRESSÃO,A,
170,16/10/2019,0,0,0,110,0,IMPRESSÃO,A,
171,17/10/2019,0,0,0,95,0,IMPRESSÃO,A,
172,18/10/2019,0,0,0,75,0,IMPRESSÃO,A,
193,01/10/2019,0,0,0,4,5,0,CORTE DE BOBINAS,A,
194,22/10/2019,0,0,0,5,0,CORTE DE BOBINAS,A,
195,23/10/2019,0,0,0,4,5,0,CORTE DE BOBINAS,A,
196,24/10/2019,0,0,0,3,8,0,CORTE DE BOBINAS,A,
197,25/10/2019,0,0,0,6,7,0,CORTE DE BOBINAS,A,
200,28/10/2019,0,0,0,7,0,CORTE DE BOBINAS,A,
201,29/10/2019,0,0,0,4,3,0,CORTE DE BOBINAS,A,
202,30/10/2019,0,0,0,2,0,CORTE DE BOBINAS,A,
205,21/10/2019,0,0,0,65,0,IMPRESSÃO,A,
207,23/10/2019,0,0,0,80,0,IMPRESSÃO,A,
208,24/10/2019,0,0,0,85,0,IMPRESSÃO,A,
214,30/10/2019,0,0,0,80,0,IMPRESSÃO,A,
231,01/11/2019,0,0,0,1,3,0,CORTE DE BOBINAS,A,
232,05/11/2019,0,0,0,3,1,0,CORTE DE BOBINAS,A,
233,06/11/2019,0,0,0,4,0,CORTE DE BOBINAS,A,
234,07/11/2019,0,0,0,5,2,0,CORTE DE BOBINAS,A,
235,08/11/2019,0,0,0,3,1,0,CORTE DE BOBINAS,A,
240,01/11/2019,0,0,0,75,0,IMPRESSÃO,A,
241,05/11/2019,0,0,0,60,0,IMPRESSÃO,A,
242,06/11/2019,0,0,0,95,0,IMPRESSÃO,A,
247,07/11/2019,0,0,0,0,0,IMPRESSÃO,A,
248,08/11/2019,0,0,0,0,0,IMPRESSÃO,A,
249,09/11/2019,0,0,0,0,0,IMPRESSÃO,A,
250,10/11/2019,0,0,0,0,0,IMPRESSÃO,A,
251,11/11/2019,0,0,0,100,0,IMPRESSÃO,A,
252,12/11/2019,0,0,0,45,0,IMPRESSÃO,A,
253,13/11/2019,0,0,0,0,0,IMPRESSÃO,A,
254,14/11/2019,0,0,0,0,0,IMPRESSÃO,A,
255,15/11/2019,0,0,0,0,0,IMPRESSÃO,A,
256,16/11/2019,0,0,0,0,0,IMPRESSÃO,A,
257,17/11/2019,0,0,0,0,0,IMPRESSÃO,A,
258,18/11/2019,0,0,0,45,0,IMPRESSÃO,A,
259,19/11/2019,0,0,0,185,0,IMPRESSÃO,A,
260,20/11/2019,0,0,0,55,0,IMPRESSÃO,A,
261,09/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
262,10/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
263,11/11/2019,0,0,0,2,5,0,CORTE DE BOBINAS,A,
264,12/11/2019,0,0,0,2,4,0,CORTE DE BOBINAS,A,
265,13/11/2019,0,0,0,2,6,0,CORTE DE BOBINAS,A,
266,14/11/2019,0,0,0,2,7,0,CORTE DE BOBINAS,A,
267,15/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
268,16/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
269,17/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
270,18/11/2019,0,0,0,2,3,0,CORTE DE BOBINAS,A,
271,19/11/2019,0,0,0,1,4,0,CORTE DE BOBINAS,A,
272,20/11/2019,0,0,0,3,7,0,CORTE DE BOBINAS,A,
282,21/11/2019,0,0,0,45,0,IMPRESSÃO,Turno,
283,22/11/2019,0,0,0,45,0,IMPRESSÃO,Turno,
284,23/11/2019,0,0,0,0,0,IMPRESSÃO,Turno,
285,24/11/2019,0,0,0,0,0,IMPRESSÃO,Turno,
286,25/11/2019,0,0,0,135,0,IMPRESSÃO,Turno,
287,26/11/2019,0,0,0,50,0,IMPRESSÃO,Turno,
288,21/11/2019,0,0,0,0,0,IMPRESSÃO,A,
289,22/11/2019,0,0,0,45,0,IMPRESSÃO,A,
290,23/11/2019,0,0,0,0,0,IMPRESSÃO,A,
291,24/11/2019,0,0,0,0,0,IMPRESSÃO,A,
292,25/11/2019,0,0,0,135,0,IMPRESSÃO,A,
293,26/11/2019,0,0,0,50,0,IMPRESSÃO,A,
294,27/11/2019,0,0,0,0,0,IMPRESSÃO,A,
295,28/11/2019,0,0,0,135,0,IMPRESSÃO,A,
296,29/11/2019,0,0,0,65,0,IMPRESSÃO,A,
297,30/11/2019,0,0,0,0,0,IMPRESSÃO,A,
298,21/11/2019,0,0,0,1,8,0,CORTE DE BOBINAS,A,
299,22/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
300,23/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
301,24/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
302,25/11/2019,0,0,0,3,0,CORTE DE BOBINAS,A,
303,26/11/2019,0,0,0,3,0,CORTE DE BOBINAS,A,
304,27/11/2019,0,0,0,4,0,CORTE DE BOBINAS,A,
305,28/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
306,29/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
307,30/11/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
309,03/12/2019,0,0,0,110,0,IMPRESSÃO,A,
310,04/12/2019,0,0,0,0,0,IMPRESSÃO,A,
311,05/12/2019,0,0,0,35,0,IMPRESSÃO,A,
312,06/12/2019,0,0,0,30,0,IMPRESSÃO,A,
313,07/12/2019,0,0,0,0,0,IMPRESSÃO,A,
314,08/12/2019,0,0,0,0,0,IMPRESSÃO,A,
315,09/12/2019,0,0,0,110,0,IMPRESSÃO,A,
316,10/12/2019,0,0,0,545,0,IMPRESSÃO,A,
317,03/12/2019,0,0,0,13,2,0,CORTE DE BOBINAS,A,
318,04/12/2019,0,0,0,7,4,0,CORTE DE BOBINAS,A,
319,05/12/2019,0,0,0,2,5,0,CORTE DE BOBINAS,A,
320,06/12/2019,0,0,0,2,0,CORTE DE BOBINAS,A,
321,07/12/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
322,08/12/2019,0,0,0,0,0,CORTE DE BOBINAS,A,
323,09/12/2019,0,0,0,3,4,0,CORTE DE BOBINAS,A,
324,10/12/2019,0,0,0,3,0,CORTE DE BOBINAS,A,
330,12/12/2019,0,0,0,155,0,IMPRESSÃO,A,
331,13/12/2019,0,0,0,0,0,IMPRESSÃO,A,
332,16/12/2019,0,0,0,0,0,IMPRESSÃO,A,
333,17/12/2019,0,0,0,100,0,IMPRESSÃO,A,
334,18/12/2019,0,0,0,0,0,IMPRESSÃO,A,
335,19/12/2019,0,0,0,135,0,IMPRESSÃO,A,
336,20/12/2019,0,0,0,0,0,IMPRESSÃO,A,
337,12/12/2019,0,0,0,2,0,CORTE DE BOBINAS,A,
338,13/12/2019,0,0,0,10,5,0,CORTE DE BOBINAS,A,
339,16/12/2019,0,0,0,9,0,CORTE DE BOBINAS,A,
340,17/12/2019,0,0,0,12,2,0,CORTE DE BOBINAS,A,
341,18/12/2019,0,0,0,2,8,0,CORTE DE BOBINAS,A,
342,19/12/2019,0,0,0,0,4,0,CORTE DE BOBINAS,A,
343,20/12/2019,0,0,0,14,0,CORTE DE BOBINAS,A,
356,02/03/2020,0,0,0,6,14,0,CORTE DE A4,A,
364,02/10/2019,0,0,1,13,0,CORTE DE A4,A,
365,03/10/2019,0,0,0,7,11,2,CORTE DE A4,A,
366,04/10/2019,0,0,0,4,3,4,1,CORTE DE A4,A,
367,09/10/2019,0,0,0,9,13,0,CORTE DE A4,A,
368,10/10/2019,0,0,0,6,11,0,CORTE DE A4,A,
369,11/10/2019,0,0,1,6,0,CORTE DE A4,A,
370,14/10/2019,0,0,0,7,9,1,CORTE DE A4,A,
371,15/10/2019,0,0,0,3,6,1,CORTE DE A4,A,
372,17/10/2019,0,0,0,1,13,0,CORTE DE A4,A,
373,18/10/2019,0,0,0,5,12,1,CORTE DE A4,A,
374,21/10/2019,0,0,0,7,0,CORTE DE A4,A,
375,22/10/2019,0,0,0,6,3,1,CORTE DE A4,A,
376,23/10/2019,0,0,1,1,7,1,CORTE DE A4,A,
377,24/10/2019,0,0,0,4,7,1,CORTE DE A4,A,
378,25/10/2019,0,0,0,5,3,0,CORTE DE A4,A,
379,28/10/2019,0,0,0,5,8,1,CORTE DE A4,A,
380,29/10/2019,0,0,0,3,6,1,CORTE DE A4,A,
381,30/10/2019,0,0,0,7,6,1,CORTE DE A4,A,
382,31/10/2019,0,0,0,8,8,1,CORTE DE A4,A,
383,04/11/2019,0,0,0,6,7,0,CORTE DE A4,A,
384,05/11/2019,0,0,0,3,7,2,CORTE DE A4,A,
385,08/11/2019,0,0,0,3,2,1,CORTE DE A4,A,
386,11/11/2019,0,0,0,5,8,1,CORTE DE A4,A,
387,12/11/2019,0,0,0,6,10,2,CORTE DE A4,A,
388,13/11/2019,0,0,0,2,11,2,CORTE DE A4,A,
389,14/11/2019,0,0,0,3,8,2,CORTE DE A4,A,
390,18/11/2019,0,0,0,4,12,2,CORTE DE A4,A,
391,19/11/2019,0,0,0,7,12,2,CORTE DE A4,A,
392,20/11/2019,0,0,0,6,16,2,CORTE DE A4,A,
393,21/11/2019,0,0,0,5,12,1,CORTE DE A4,A,
394,22/11/2019,0,0,0,6,10,1,CORTE DE A4,A,
395,25/11/2019,0,0,0,8,14,1,CORTE DE A4,A,
396,26/11/2019,0,0,1,2,15,2,CORTE DE A4,A,
397,27/11/2019,0,0,0,8,15,2,CORTE DE A4,A,
398,28/11/2019,0,0,0,4,10,1,CORTE DE A4,A,
399,29/11/2019,0,0,1,7,14,0,CORTE DE A4,A,
400,02/12/2019,0,0,0,8,14,2,CORTE DE A4,A,
401,03/12/2019,0,0,0,4,11,1,CORTE DE A4,A,
402,04/12/2019,0,0,0,3,22,1,CORTE DE A4,A,
403,05/12/2019,0,0,0,6,14,1,CORTE DE A4,A,
