id,data,fornecedor,nota_fiscal,cod_bobina,peso
1,09/10/2020,CMPC,79953,20D30152A,229
2,09/10/2020,CMPC,79953,20I02192D,385
3,09/10/2020,CMPC,79953,20D30172A,391
4,09/10/2020,CMPC,79953,20D30181P,390
5,09/10/2020,CMPC,79953,20I02172D,385
6,09/10/2020,CMPC,79953,20D30181E,390
7,09/10/2020,CMPC,79953,20D29181B,381
8,09/10/2020,CMPC,79953,20D29181P,382
9,09/10/2020,CMPC,79953,20I02191D,386
10,09/10/2020,CMPC,79953,20D29181E,381
11,09/10/2020,CMPC,79953,20D29181A,380
12,09/10/2020,CMPC,79953,20D30172B,161
13,13/10/2020,CMPC,79953,20D29161P,382
14,13/10/2020,CMPC,79953,20D29181A,200
15,13/10/2020,CMPC,79953,20I02162D,387
16,13/10/2020,CMPC,79953,20D29161E,381
17,13/10/2020,CMPC,79953,20D29162B,382
18,13/10/2020,CMPC,79953,20D30161P,391
19,13/10/2020,CMPC,79953,20D29161B,381
20,13/10/2020,CMPC,79953,20D29162A,382
21,13/10/2020,CMPC,79953,20D29161A,381
22,13/10/2020,CMPC,79953,20D29172A,381
23,13/10/2020,CMPC,79953,20D29172P,382
24,13/10/2020,CMPC,79953,20D29172A,381
26,14/10/2020,CMPC,79953,20D30161P,391
27,14/10/2020,CMPC,79953,20D29162E,383
28,14/10/2020,CMPC,79953,20D29162P,383
29,14/10/2020,CMPC,79953,20D29192A,381
30,14/10/2020,CMPC,79953,20D29192P,383
31,14/10/2020,CMPC,79953,20D29172E,382
32,14/10/2020,CMPC,79953,20D29192E,382
34,14/10/2020,CMPC,79953,20D30172A,391
35,14/10/2020,CMPC,79953,20D30161P,391
36,14/10/2020,CMPC,79953,20D29162E,383
37,14/10/2020,CMPC,79953,20D29162P,383
38,14/10/2020,CMPC,79953,20D29192A,381
39,14/10/2020,CMPC,79953,20D29192P,383
40,14/10/2020,CMPC,79953,20D29172E,382
41,14/10/2020,CMPC,79953,20D29192E,382
42,14/10/2020,CMPC,79953,20D30172A,391
43,14/10/2020,CMPC,79953,20D30161P,391
44,14/10/2020,CMPC,79953,20D29162E,383
45,14/10/2020,CMPC,79953,20D29162P,383
46,14/10/2020,CMPC,79953,20D29192A,381
47,14/10/2020,CMPC,79953,20D29192P,383
48,14/10/2020,CMPC,79953,20D29172E,382
49,14/10/2020,CMPC,79953,20D29192E,382
50,14/10/2020,CMPC,79953,20D30172A,391
51,14/10/2020,CMPC,79953,20D30161P,391
52,14/10/2020,CMPC,79953,20D29162E,383
53,14/10/2020,CMPC,79953,20D29162P,383
54,14/10/2020,CMPC,79953,20D29192A,381
55,14/10/2020,CMPC,79953,20D29192P,383
56,14/10/2020,CMPC,79953,20D29172E,382
58,14/10/2020,SANTA MARIA PAPEIS,129637,40386-2/207441,200
59,14/10/2020,SANTA MARIA PAPEIS,130330,40642-2/20A992,410
60,14/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E852,415
61,14/10/2020,CMPC,79953,20D30172A,391
62,14/10/2020,CMPC,79953,20D30161P,391
63,14/10/2020,CMPC,79953,20D29162E,383
64,14/10/2020,CMPC,79953,20D29162P,383
65,14/10/2020,CMPC,79953,20D29192A,381
66,14/10/2020,CMPC,79953,20D29192P,383
67,14/10/2020,CMPC,79953,20D29172E,382
68,14/10/2020,CMPC,79953,20D29192E,382
69,14/10/2020,SANTA MARIA PAPEIS,129637,40386-2/207441,200
70,14/10/2020,SANTA MARIA PAPEIS,130330,40642-2/20A992,410
72,14/10/2020,CMPC,79953,20D30172A,391
73,14/10/2020,CMPC,79953,20D30161P,391
74,14/10/2020,CMPC,79953,20D29162E,383
75,14/10/2020,CMPC,79953,20D29162P,383
76,14/10/2020,CMPC,79953,20D29192A,381
77,14/10/2020,CMPC,79953,20D29192P,383
78,14/10/2020,CMPC,79953,20D29172E,382
79,14/10/2020,CMPC,79953,20D29192E,382
80,14/10/2020,SANTA MARIA PAPEIS,129637,40386-2/207441,200
81,14/10/2020,SANTA MARIA PAPEIS,130330,40642-2/20A992,410
82,14/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E852,415
83,15/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E852,200
84,15/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20F842,411
85,15/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20F852,411
86,15/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20A842,415
87,15/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20B842,413
88,15/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20A852,413
89,15/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20Z842,410
90,15/10/2020,SANTA MARIA PAPEIS,130330,40638-2/20E842,414
91,15/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z861,412
92,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z861,200
93,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z852,412
94,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E851,414
95,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20A861,415
96,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20F851,414
97,16/10/2020,SANTA MARIA PAPEIS,130330,40386-2/20C431,200
98,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z861,200
99,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20Z852,412
100,16/10/2020,SANTA MARIA PAPEIS,130330,40639-2/20E851,414
