Setor,Data,Disponibilidade_Real,Desempenho_Real,Qualidade_Real,OeeVisaoGeral_Real,ProducaoReal_Meta,ProducaoReal_Real,CapacidadeReal_Real,CapacidadeInstalada_Real,CaixasNaoProduzidas_Real,HorasAdicionaisAoProcesso_Real,HorasParadas_Real,HorasReais_Real,DescartesCaixas_Real,DescartesTampas_Real,DescartesEmbalagens_Real,Refugo_Real,SegundaLinha_Real
CORTE DE BOBINAS,02/09/2019,100,77.0,100,77,1353.0,4600,77.0,5953.0,244463.45329249618,0.0,72,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,03/09/2019,100,71.0,100,71,2445.0,6000,71.0,8445.0,244463.45329249618,0.0,55,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.0
CORTE DE BOBINAS,04/09/2019,40,146.0,99,57,-1914.0,6100,58.0,10466.0,6279.0,0.0,16,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,05/09/2019,77,81.0,97,61,1016.0,4300,62.0,6892.0,1575.0,0.0,71,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,3.0
CORTE DE BOBINAS,06/09/2019,100,114.0,98,112,-775.0,6200,114.0,5425.0,244463.45329249618,0.0,6,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,2.0
CORTE DE BOBINAS,09/09/2019,100,98.0,99,97,198.0,7800,98.0,7998.0,244463.45329249618,0.0,15,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,10/09/2019,100,67.0,99,66,2575.0,5300,67.0,7875.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,11/09/2019,100,89.0,98,87,875.0,7000,89.0,7875.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,2.0
CORTE DE BOBINAS,12/09/2019,100,103.0,99,102,-225.0,8100,103.0,7875.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,13/09/2019,100,104.0,100,104,-262.0,6600,104.0,6338.0,244463.45329249618,0.0,93,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,16/09/2019,69,98.0,99,66,85.0,4500,67.0,6686.0,2101.0,0.0,41,2,6.0,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,17/09/2019,100,146.0,99,145,-4344.0,13700,146.0,9356.0,244463.45329249618,0.0,41,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,18/09/2019,100,78.0,98,76,975.0,3400,78.0,4375.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,2.0
CORTE DE BOBINAS,19/09/2019,100,78.0,96,75,975.0,3400,78.0,4375.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,4.0
CORTE DE BOBINAS,20/09/2019,100,85.0,100,85,963.0,5600,85.0,6563.0,244463.45329249618,0.0,63,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,23/09/2019,100,147.0,99,146,-3725.0,11600,147.0,7875.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,24/09/2019,100,114.0,98,113,-1125.0,9000,114.0,7875.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,2.0
CORTE DE BOBINAS,25/09/2019,79,88.0,99,69,901.0,6600,70.0,9490.0,1988.0,0.0,58,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,26/09/2019,100,159.0,99,158,-5389.0,14500,159.0,9111.0,244463.45329249618,0.0,64,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,1.0
CORTE DE BOBINAS,27/09/2019,100,115.0,98,113,-706.0,5500,115.0,4794.0,244463.45329249618,0.0,7,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,2.0
CORTE DE BOBINAS,30/09/2019,100,115.0,100,115,-749.0,5900,115.0,5151.0,244463.45329249618,0.0,19,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,02/10/2019,100,131.0,100,131,-2148.0,9000,131.0,6852.0,244463.45329249618,0.0,54,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,03/10/2019,30,242.0,100,73,-1936.0,3300,73.0,4504.0,3140.0,0.0,29,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,04/10/2019,100,106.0,100,106,-379.0,6600,106.0,6221.0,244463.45329249618,0.0,56,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,07/10/2019,100,114.0,100,114,-625.0,5000,114.0,4375.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,08/10/2019,100,134.0,100,134,-1532.0,6100,134.0,4568.0,244463.45329249618,0.0,36,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,09/10/2019,100,143.0,100,143,-3425.0,11300,143.0,7875.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,10/10/2019,100,168.0,100,168,-5162.0,12800,168.0,7638.0,244463.45329249618,0.0,1,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,11/10/2019,99,79.0,100,78,988.0,3700,78.0,4715.0,27.0,0.0,74,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,14/10/2019,100,98.0,100,98,75.0,4300,98.0,4375.0,244463.45329249618,0.0,76,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,15/10/2019,100,105.0,100,105,-334.0,7400,105.0,7066.0,244463.45329249618,0.0,21,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
CORTE DE BOBINAS,16/10/2019,100,102.0,100,102,-141.0,7300,102.0,7159.0,244463.45329249618,0.0,51,2,4.582089552238806,0.041707317073170734,0.021388888888888888,4.223684210526316,0.8144820295983086
